codice_istat,denominazione_ita_altra,denominazione_ita,denominazione_altra,cap,sigla_provincia,denominazione_provincia,tipologia_provincia,codice_regione,denominazione_regione,tipologia_regione,ripartizione_geografica,flag_capoluogo,codice_belfiore,lat,lon,superficie_kmq,,,
1038,Bruino,Bruino,,10090,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,B216,45,202313,7,4676911,5,5701
1039,Brusasco,Brusasco,,10020,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,B225,45,1559558,8,600942,14,3592
1040,Bruzolo,Bruzolo,,10050,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,B232,45,1431255,7,1939769,12,5598
1041,Buriasco,Buriasco,,10060,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,B278,44,8733550,7,4119230,14,6868
1042,Burolo,Burolo,,10010,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,B279,45,4841252,7,9320566,5,4760
1043,Busano,Busano,,10080,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,B284,45,3288398,7,6557436,5,591
1044,Bussoleno,Bussoleno,,10053,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,B297,45,1372801,7,1493187,37,661
1045,Buttigliera Alta,Buttigliera Alta,,10090,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,B305,45,670146,7,4367807,8,973
1046,Cafasse,Cafasse,,10070,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,B350,45,2447136,7,5181235,10,2312
1047,Caluso,Caluso,,10014,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,B435,45,3078650,7,8915053,39,4925
1048,Cambiano,Cambiano,,10020,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,B462,44,9734576,7,7793248,14,1314
1049,Campiglione Fenile,Campiglione Fenile,,10060,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,B512,44,8021199,7,3250382,11,863
1050,Candia Canavese,Candia Canavese,,10010,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,B588,45,3281713,7,8866124,9,1318
1051,Candiolo,Candiolo,,10060,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,B592,44,9602633,7,6012111,11,8499
1052,Canischio,Canischio,,10080,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,B605,45,3743498,7,5952182,11,9505
1053,Cantalupa,Cantalupa,,10060,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,B628,44,9403073,7,3326039,11,1953
1054,Cantoira,Cantoira,,10070,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,B637,45,3432391,7,3816797,23,319
1055,Caprie,Caprie,,10040,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,B705,45,1178654,7,3325065,16,4078
1056,Caravino,Caravino,,10010,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,B733,45,3986096,7,9602135,11,5371
1057,Carema,Carema,,10010,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,B762,45,5844545,7,8123043,10,2579
1058,Carignano,Carignano,,10041,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,B777,44,9066637,7,6753431,50,6790
1059,Carmagnola,Carmagnola,,10022,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,B791,44,8465448,7,7181575,95,7148
1060,Casalborgone,Casalborgone,,10020,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,B867,45,1299630,7,9404405,20,1250
1061,Cascinette d'Ivrea,Cascinette d'Ivrea,,10010,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,B953,45,4784597,7,9046983,2,1726
1062,Caselette,Caselette,,10040,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,B955,45,1058811,7,4832072,14,3136
1063,Caselle Torinese,Caselle Torinese,,10072,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,B960,45,1771666,7,6481863,23,5513
1064,Castagneto Po,Castagneto Po,,10090,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,C045,45,1606091,7,8869884,11,4732
1065,Castagnole Piemonte,Castagnole Piemonte,,10060,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,C048,44,8986165,7,5665563,17,2796
1066,Castellamonte,Castellamonte,,10081,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,C133,45,3833395,7,7098652,38,7063
1067,Castelnuovo Nigra,Castelnuovo Nigra,,10080,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,C241,45,4373279,7,6951142,28,3756
1068,Castiglione Torinese,Castiglione Torinese,,10090,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,C307,45,1233094,7,8160937,14,1345
1069,Cavagnolo,Cavagnolo,,10020,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,C369,45,1520751,8,513102,12,3285
1070,Cavour,Cavour,,10061,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,C404,44,7840265,7,3752321,48,9591
1071,Cercenasco,Cercenasco,,10060,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,C487,44,8612571,7,5012581,13,1595
1072,Ceres,Ceres,,10070,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,C497,45,3130821,7,3893433,28,516
1073,Ceresole Reale,Ceresole Reale,,10080,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,C505,45,4326228,7,2325410,99,8147
1074,Cesana Torinese,Cesana Torinese,,10054,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,C564,44,9524088,6,7942278,121,7001
1075,Chialamberto,Chialamberto,,10070,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,C604,45,3628633,7,3457007,35,4478
1076,Chianocco,Chianocco,,10050,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,C610,45,1485865,7,1693934,18,6134
1077,Chiaverano,Chiaverano,,10010,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,C624,45,4994028,7,9031274,12,221
1078,Chieri,Chieri,,10023,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,C627,45,131517,7,8210716,54,1975
1079,Chiesanuova,Chiesanuova,,10080,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,C629,45,4178128,7,6560592,4,1189
1080,Chiomonte,Chiomonte,,10050,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,C639,45,1193861,6,9833861,26,7549
1081,Chiusa di San Michele,Chiusa di San Michele,,10050,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,C655,45,1015471,7,3264449,5,9165
1082,Chivasso,Chivasso,,10034,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,C665,45,1885564,7,8871395,51,2378
1083,Ciconio,Ciconio,,10080,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,C679,45,3303253,7,7598721,3,1638
1084,Cintano,Cintano,,10080,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,C711,45,4280550,7,6866210,4,9345
1085,Cinzano,Cinzano,,10090,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,C715,45,938984,7,9211215,6,1962
1086,Ciriè,Ciriè,,10073,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,C722,45,2320252,7,6037821,17,7329
